source,target,type
Desire_1.3085359775981447e+19_Eat,Internsion_1.7544747242909686e+19,go_to
Desire_1.1454223632361026e+19_Eat,Internsion_1.240152872211298e+19,go_to
Desire_7.050409611445888e+18_Eat,Internsion_1.3115040042009844e+19,go_to
Desire_8.348149263224258e+18_Eat,Internsion_1.0800791095699436e+19,go_to
Desire_3.644519605235535e+18_Eat,Internsion_1.637600942521792e+19,go_to
Desire_9.843266553892526e+18_Eat,Internsion_1.1872720636132407e+19,go_to
Desire_2.877559951403516e+18_Eat,Internsion_1.0141975817069318e+19,go_to
Desire_5.742265124617249e+18_Eat,Internsion_2.02514989644507e+18,go_to
Desire_1.397061831309116e+19_Eat,Internsion_7.52542854120949e+18,go_to
Desire_1.0179976950406846e+19_Eat,Internsion_5.43253850829936e+18,go_to
Desire_8.679556010828074e+17_Eat,Internsion_9.955941713176711e+18,go_to
Desire_1.6811581475933368e+19_Eat,Internsion_8.620876233478818e+18,go_to
Desire_1.402932671446972e+19_Eat,Internsion_5.713071142643807e+18,go_to
Desire_8.930538386920394e+18_Eat,Internsion_9.872987474966587e+18,go_to
Desire_1.770190080817234e+19_Eat,Internsion_3.589748679237916e+18,go_to
Desire_6.49514813978774e+18_Eat,Internsion_1.124303733661183e+19,go_to
Desire_8.875504918583185e+18_Eat,Internsion_3.118880774527348e+18,go_to
Desire_1.7140212303967184e+17_Eat,Internsion_3.327701748831504e+18,go_to
Desire_8.257065520053765e+18_Eat,Internsion_6.297092844966737e+17,go_to
Desire_1.0558192554984104e+19_Eat,Internsion_1.7481187743318393e+19,go_to
Desire_5.604352906150699e+18_Eat,Internsion_3.200397574122992e+18,go_to
Desire_1.6837766039900574e+19_Eat,Internsion_4.314194367311846e+18,go_to
Desire_6.655749755936605e+18_Eat,Internsion_1.595790984728012e+19,go_to
Desire_1.28970693862744e+19_Eat,Internsion_1.5209661810637847e+18,go_to
Desire_7.100701500206086e+18_Eat,Internsion_1.6015477910697562e+19,go_to
Desire_1.134790409557064e+18_Eat,Internsion_4.53134081056338e+18,go_to
Desire_1.5215535381069107e+19_Eat,Internsion_1.4933709511751289e+19,go_to
Desire_6.498621724941362e+18_Eat,Internsion_2.3038206540918528e+18,go_to
Desire_8.801267743651856e+18_Eat,Internsion_1.0319924759977271e+19,go_to
Desire_1.7283672716195068e+19_Eat,Internsion_1.5003415707040578e+19,go_to
Desire_1.4328706107248232e+19_Eat,Internsion_6.318968993851949e+18,go_to
Desire_9.544169926338224e+18_Eat,Internsion_1.726010910357025e+19,go_to
Desire_1.7369725252511394e+19_Eat,Internsion_1.1559062744494766e+19,go_to
Desire_1.5628411422323796e+19_Eat,Internsion_1.3747151733182234e+18,go_to
Desire_1.3368598351132406e+19_Eat,Internsion_1.6964716697196993e+19,go_to
Desire_8.506780085438988e+17_Eat,Internsion_3.139911378606655e+18,go_to
Desire_6.820599448761313e+18_Eat,Internsion_5.43506503200476e+18,go_to
Desire_1.6898744737933707e+19_Eat,Internsion_1.0968320825065505e+19,go_to
Desire_2.798913942389017e+18_Eat,Internsion_1.6143056515045937e+18,go_to
Desire_1.2742947182615153e+19_Eat,Internsion_9.379902266347446e+17,go_to
Desire_1.5058922431599747e+19_Eat,Internsion_8.185773735183363e+18,go_to
Desire_8.120083220689137e+18_Eat,Internsion_4.2645803887580216e+18,go_to
Desire_3.078795904896276e+18_Eat,Internsion_1.887026516886053e+17,go_to
Desire_7.508580980419468e+18_Eat,Internsion_4.5081676710754657e+18,go_to
Desire_5.612890568669648e+18_Eat,Internsion_1.4215335043869176e+19,go_to
Desire_1.302377894726544e+19_Eat,Internsion_9.213228114882124e+18,go_to
Desire_2.0531555955707151e+18_Eat,Internsion_1.3511880812778668e+19,go_to
Desire_1.5598686721366927e+19_Eat,Internsion_7.526775009382954e+18,go_to
Desire_4.954872773805987e+18_Eat,Internsion_9.973218424429715e+18,go_to
Desire_1.7317532017055048e+19_Eat,Internsion_1.435580220000594e+18,go_to
Desire_8.439084807011885e+16_Eat,Internsion_1.225494874867636e+19,go_to
Desire_5.311844921814668e+18_Eat,Internsion_6.827902934694142e+18,go_to
Desire_9.589637960082964e+18_Eat,Internsion_8.851438763550186e+18,go_to
Desire_5.528700012854392e+18_Eat,Internsion_2.966394470524197e+18,go_to
Desire_1.0409043428980642e+19_Eat,Internsion_5.327861013682826e+18,go_to
Desire_1.3096713423984632e+19_Eat,Internsion_3.996634737276189e+18,go_to
Desire_3.915606233552235e+18_Eat,Internsion_1.0639549806449975e+19,go_to
Desire_3.362493514721592e+18_Eat,Internsion_8.698483757938482e+17,go_to
Desire_3.5574978419928684e+18_Eat,Internsion_7.199175807943984e+18,go_to
Desire_1.4343145025278087e+19_Eat,Internsion_1.3850974502043727e+18,go_to
Desire_1.3326534109162732e+18_Eat,Internsion_1.198689418672142e+19,go_to
Desire_6.152542710069779e+18_Eat,Internsion_1.4309719644476912e+19,go_to
Desire_6.207551067600541e+17_Eat,Internsion_1.3728608352897794e+19,go_to
Desire_1.3636884576877984e+19_Eat,Internsion_1.710571940641016e+18,go_to
Desire_5.425610975447628e+18_Eat,Internsion_1.3251821285211937e+19,go_to
Desire_4.490996124428694e+18_Eat,Internsion_1.0197080944945756e+19,go_to
Desire_8.747571590536831e+18_Eat,Internsion_1.4871942429136669e+19,go_to
Desire_1.0472194614955934e+19_Eat,Internsion_1.5815752919550003e+19,go_to
Desire_1.4582188431310975e+19_Eat,Internsion_6.134831421214653e+18,go_to
Desire_1.800671247551186e+18_Eat,Internsion_1.6051143022691428e+19,go_to
Desire_1.300012518470546e+19_Eat,Internsion_1.1087278965184297e+19,go_to
Desire_1.4265287330705248e+19_Eat,Internsion_6.287692747904974e+18,go_to
Desire_1.1015902919721644e+19_Eat,Internsion_3.670816829066687e+18,go_to
Desire_1.7980187692383226e+19_Eat,Internsion_1.497734214197178e+19,go_to
Desire_2.460085664085968e+18_Eat,Internsion_1.0539248311867716e+19,go_to
Desire_9.628242117426315e+18_Eat,Internsion_2.875020325459487e+18,go_to
Desire_9.439905573704428e+18_Eat,Internsion_3.676054625445185e+18,go_to
Desire_1.5670293381711978e+19_Eat,Internsion_6.703236171907655e+18,go_to
Desire_3.3913554221078385e+18_Eat,Internsion_4.210317549954661e+18,go_to
Desire_5.204756169157286e+18_Eat,Internsion_2.5098007543821727e+18,go_to
Desire_1.4673639068319971e+19_Eat,Internsion_2.777677748889554e+17,go_to
Desire_7.7068801192842e+18_Eat,Internsion_9.793462523462097e+18,go_to
Desire_1.4490172530421633e+19_Eat,Internsion_1.1831855230550262e+19,go_to
Desire_1.103004917634497e+19_Eat,Internsion_1.177872035155377e+19,go_to
Desire_1.0895629330578108e+19_Eat,Internsion_1.1657868175370795e+19,go_to
Desire_6.106088314936803e+18_Eat,Internsion_6.681049688757665e+17,go_to
Desire_9.576882948112742e+18_Eat,Internsion_1.7217690331878787e+19,go_to
Desire_3.384745142253633e+18_Eat,Internsion_6.553075307691473e+18,go_to
Desire_1.7832640401104535e+18_Eat,Internsion_1.2383515929264454e+19,go_to
Desire_2.5134397511287286e+18_Eat,Internsion_7.130211630165008e+18,go_to
Desire_1.3741970687613254e+19_Eat,Internsion_3.5459448922068864e+18,go_to
Desire_1.077074858382796e+19_Eat,Internsion_1.7495103709553097e+19,go_to
Desire_1.673636091416379e+19_Eat,Internsion_7.789830338791274e+18,go_to
Desire_4.879725940627782e+18_Eat,Internsion_9.236402306179404e+17,go_to
Desire_8.584242365119638e+18_Eat,Internsion_9.997894117690844e+17,go_to
Desire_9.943062982941112e+18_Eat,Internsion_5.772174009656897e+18,go_to
Desire_1.2425958201773525e+19_Eat,Internsion_1.5964005893847665e+18,go_to
Desire_1.2949257674360707e+19_Eat,Internsion_6.368565709695463e+18,go_to
Desire_1.6119368570361293e+19_Eat,Internsion_1.3294654430920595e+19,go_to
Desire_8.878624306805962e+18_Eat,Internsion_1.6883345792642312e+19,go_to
Desire_9.233433420705829e+18_Eat,Internsion_6.249161742098117e+18,go_to
Desire_1.826799760983292e+19_Eat,Internsion_8.675369798619657e+18,go_to
Desire_1.6585580442135818e+17_Eat,Internsion_1.1242609632165251e+19,go_to
Desire_4.5686269623679534e+18_Eat,Internsion_5.966303647521035e+18,go_to
Desire_5.092529830854624e+17_Eat,Internsion_1.179403407678521e+19,go_to
Desire_1.511415701850992e+19_Eat,Internsion_4.990374272513565e+18,go_to
Desire_1.4498676835317647e+19_Eat,Internsion_1.1351212856739658e+19,go_to
Desire_1.726236620391192e+19_Eat,Internsion_1.1279364516893216e+18,go_to
Desire_4.91410665874639e+18_Eat,Internsion_5.505078964962888e+18,go_to
Desire_6.117401513114112e+18_Eat,Internsion_1.7607398941555767e+19,go_to
Desire_2.9494544426177864e+18_Eat,Internsion_2.260613290603428e+18,go_to
Desire_1.1992862075275854e+19_Eat,Internsion_1.9346905853197537e+18,go_to
Desire_3.8329945632770417e+18_Eat,Internsion_2.5726186487489e+16,go_to
Desire_1.6845625119897752e+19_Eat,Internsion_4.805420558200638e+18,go_to
Desire_7.613394563582388e+17_Eat,Internsion_1.3393753116874277e+19,go_to
Desire_6.022203049391046e+18_Eat,Internsion_1.356846866114478e+19,go_to
Desire_6.003394858957728e+18_Eat,Internsion_1.254639470438246e+19,go_to
Desire_6.555918735367474e+18_Eat,Internsion_1.2397968472065538e+19,go_to
Desire_5.075311042608692e+18_Eat,Internsion_1.430980625334583e+18,go_to
Desire_1.355050658128092e+19_Eat,Internsion_8.726428594072199e+18,go_to
Desire_9.654314850872287e+18_Eat,Internsion_8.588380566355954e+18,go_to
