model_name,desire,num_sample,loss,age_group_error,income_group_error,household_size_error,vehicles_error,family_structure_error,mean_error,age_group_kl,income_group_kl,household_size_kl,vehicles_kl,family_structure_kl,mean_kl,best_params
xgboost,Eat,12000,1.572792197453072,0.20725204645676765,0.20977317991175623,0.2054894861971254,0.20619399942464173,0.20896864958297515,0.20753547231465325,15.684591072295087,15.772726016764143,16.881512549896904,14.818294757031644,14.723916994786716,15.5762082781549,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.8}"
xgboost,Eat,14000,1.5731172426749094,0.20576491385874554,0.21117363752371276,0.20723777333430632,0.20826493237338317,0.21035194349212658,0.2085586401164549,15.694227491005838,16.870695059509334,13.93966507614071,16.576519507421384,15.021104174787727,15.620442261772997,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.8}"
xgboost,Eat,16000,1.573187885052428,0.2101446088495366,0.21068909502601788,0.20576664861825764,0.20804128496345264,0.20972350395249792,0.2088730282819525,15.34077564014562,16.30192470783456,16.13434548751698,15.46038043942319,14.717638651791255,15.59101298534232,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.8}"
xgboost,Eat,18000,1.5732282709108356,0.20843484978370716,0.20868547778294064,0.20537585884163229,0.2063814645829356,0.20716181132037384,0.2072078924623179,15.133348283608317,15.713619481924066,15.212724577259968,15.216416436347977,14.556599369496224,15.16654162972731,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
xgboost,Eat,20000,1.5731063758739279,0.20218392677775476,0.2088259765535764,0.2054363872324711,0.20632998430373678,0.20744248725070744,0.20604375242364928,15.401317454992812,16.739405387748555,12.81977023291903,12.953181253032678,12.624092825846814,14.107553430907979,"{'gamma': 0.2, 'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 100, 'subsample': 0.9}"
multilayer_perceptron,Eat,2000,1.2438261581124963,0.19113979411681023,0.2069474630077893,0.19403422978937765,0.20800270791938547,0.20652275303849355,0.20132938957437121,18.530810793908852,18.24481428990205,18.462735594067706,18.86354352302211,18.701770738664173,18.56073498791298,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001}"
multilayer_perceptron,Eat,4000,1.2613918823778194,0.20997142842200034,0.20726298711861277,0.2012780092940057,0.20720208224821174,0.20770265753233078,0.20668343292303226,18.077943774751322,18.074162805606264,18.130281716824054,18.557187433666737,18.42191746976625,18.252298640122927,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001}"
multilayer_perceptron,Eat,6000,1.2596648640513552,0.2088802468905612,0.20689639764000564,0.2017627973924096,0.20627571997210736,0.20827418109180645,0.20641786859737804,18.06948375629592,18.098445852838992,18.12917837409369,18.592903117530504,18.459255128266328,18.269853245805088,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001}"
multilayer_perceptron,Eat,8000,1.258099510102174,0.2077611729049936,0.20903471716769664,0.20582785852447455,0.2087751403879438,0.20953802480900519,0.20818738275882276,18.151281723683436,18.102899061737364,18.129122492113996,18.616543745150654,18.510802733923335,18.302129951321756,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001}"
multilayer_perceptron,Eat,10000,1.2576896849966663,0.20774405988483116,0.20960319621559856,0.20582898780943196,0.20824680844383006,0.2093516139648759,0.20815493326371354,18.163795150062,18.082997676024167,18.096466009436174,18.61467531533993,18.5120778257783,18.294002395328114,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (150, 150), 'learning_rate_init': 0.0001}"
